	IMR90_iCherry	IMR90_iCherry	IMR90_iCherry	IMR90_iRAS	IMR90_iRAS	IMR90_iRAS
7892595	2.38961	2.38968	2.03367	2.44041	2.83029	2.32036
7892596	2.27635	2.10463	2.56271	2.05357	2.4561	2.09196
7892597	2.97536	2.67754	2.38184	2.60616	2.84639	3.0034
7892598	7.76904	7.40692	7.66391	7.41841	7.80447	7.77712
7892599	8.91012	9.09488	9.05707	8.9815	8.82625	8.95973
7892600	2.45504	2.5042	2.74003	2.35896	2.73405	2.22714
7892601	3.32673	3.26654	3.38702	3.38796	3.3104	3.37829
7892602	2.4803	2.11369	2.32986	2.57569	2.37995	2.70157
7892603	2.4288	1.90338	2.0153	2.06463	2.21131	2.25713
7892604	2.20334	1.92816	2.25478	1.76199	1.99318	2.24634
7892605	7.49474	7.56155	7.75809	7.01014	7.21698	6.81455
7892606	9.60557	9.70338	9.69854	9.67847	9.64033	9.62303
7892608	6.06419	5.85834	5.78532	5.80038	5.87917	5.70202
7892609	1.60389	3.34474	1.76935	2.58178	1.9621	2.2101
7892610	3.76407	3.32432	4.06784	4.60254	4.58009	4.57505
7892611	1.92442	1.80317	1.81918	1.92752	2.40652	1.95665
7892612	2.13842	1.89326	1.92086	1.73082	1.86073	1.81479
7892613	7.88579	7.89997	7.86862	8.02141	7.9503	7.73139
7892614	3.82718	2.8562	2.54085	2.14037	2.62471	2.47532
7892615	2.25664	2.38976	2.24248	2.24945	2.57884	2.24788
7892616	1.88305	1.91238	2.13049	2.16139	2.05242	1.76895
7892617	10.2951	10.3043	10.0367	10.0911	10.2863	10.0938
7892618	3.29443	3.30324	2.33561	2.68204	2.9214	3.33982
7892619	2.52892	2.67008	2.29589	2.37912	2.19375	2.41488
7892620	9.772	9.92969	9.97911	9.76337	9.6121	9.71174
7892621	9.72814	9.77425	9.89546	10.1121	9.87457	10.0189
7892622	8.56532	8.33686	8.45466	8.51149	8.79653	8.52481
7892623	8.02599	8.25725	7.88691	8.15192	7.64233	7.47901
7892624	2.05021	1.78439	1.69145	2.01144	2.18164	1.99249
7892625	4.17462	3.17708	3.46221	3.06996	3.62619	3.163
7892626	2.66574	2.20052	2.6626	2.86084	2.79434	2.90004
7892627	5.84231	5.55428	4.84469	5.70771	5.52732	6.042
7892628	8.65219	9.07153	8.64008	8.42012	7.97432	8.40522
7892629	4.13028	3.85306	2.76516	3.08659	3.85723	3.21609
7892630	7.73133	7.78953	7.72945	7.59765	7.61843	7.49846
7892631	1.82309	1.63882	1.8835	2.00451	2.22062	1.60864
7892632	2.11584	2.2234	2.22004	2.2166	2.86493	1.99042
7892633	3.23227	4.14728	3.72108	3.99909	3.11718	3.18876
7892634	6.38061	6.22746	6.5959	6.38483	6.04738	6.37834
7892635	5.63409	5.83601	5.7917	5.95703	5.76141	5.78246
7892636	5.40664	5.27856	5.30043	5.5482	5.0648	5.68695
7892637	3.4754	3.91129	2.77407	2.89244	3.5778	3.075
7892638	1.72061	1.72231	2.10735	1.77608	1.78852	2.01752
7892639	8.50823	8.40241	9.02774	8.61188	8.08936	8.03369
7892640	10.239	10.2463	10.2304	10.1062	10.1339	10.0685
7892641	2.1037	2.2487	2.74725	2.97715	2.25549	2.52982
7892642	7.61054	7.49725	7.5304	7.42689	7.53498	7.47214
7892643	8.16843	8.1913	8.21798	7.91372	7.95043	7.85235
7892644	4.81834	5.10827	5.03928	4.88852	4.95391	4.64014
